record_id,batch,release_item,base_name,status,boundary_violation_rows,matched_polity_names,contexts,row_count,year_min,year_max,start_values,end_values,source_note,source_titles,source_raw_sample
1,v1.0.0-batch17_18 (Final Batch),北汉,北汉,PASS_DATA_PRESENT,0,北汉 | 北漢,五代十国/五代十国 | 五代十国/十国,91,951,979,951,979,,《宋史·世家》,979年宋太宗赵光义亲征攻克太原，北汉主刘继元投降，北汉亡 || 979年降宋
2,v1.0.0-batch17_18 (Final Batch),后周(二次核对),后周,PASS_DATA_PRESENT,0,后周 | 後周,五代十国/五代 | 五代十国/五代十国,56,951,960,951,960,,《旧五代史·周书》/《宋史》,960年赵匡胤陈桥兵变建立宋朝，后周灭亡
3,v1.0.0-batch17_18 (Final Batch),武平军,武平军,PASS_DATA_PRESENT,0,武平军,五代十国/五代十国,4,951,953,951,963,,《宋史》/《新五代史》,951年刘言等割据湖南(原马楚地)，963年周保权降宋，武平军节度使割据终结
4,v1.0.0-batch17_18 (Final Batch),北汉(异体),北汉,PASS_DATA_PRESENT,0,北汉 | 北漢,五代十国/五代十国 | 五代十国/十国,91,951,979,951,979,,《宋史·世家》,979年宋太宗赵光义亲征攻克太原，北汉主刘继元投降，北汉亡 || 979年降宋
5,v1.0.0-batch17_18 (Final Batch),北宋,北宋,PASS_DATA_PRESENT,0,北宋,宋辽金夏/宋辽金夏,176,960,1127,960,1127,,《宋史·钦宗纪》,1127年靖康之变，金军攻破开封俘虏徽钦二帝，北宋灭亡
6,v1.0.0-batch17_18 (Final Batch),西夏,西夏,PASS_DATA_PRESENT,0,西夏,宋辽金夏/宋辽金夏,192,1038,1227,1038,1227,,《西夏书事》/《元史》,1227年夏末帝李睍投降蒙古，随后被杀，西夏灭亡
7,v1.0.0-batch17_18 (Final Batch),金朝,金朝,PASS_DATA_PRESENT,0,金朝,宋辽金夏/宋辽金夏,128,1115,1234,1115,1234,,《金史·哀宗本纪》,1234年蒙宋联军攻破蔡州，金哀宗自缢，金末帝战死，金朝亡
8,v1.0.0-batch17_18 (Final Batch),西辽,西辽,PASS_DATA_PRESENT,0,西遼,宋辽金夏/宋辽金夏,190,1124,1218,1124,1218,,《辽史》/《元史》,1218年哲别率领蒙古大军攻灭西辽（屈出律被杀）
9,v1.0.0-batch17_18 (Final Batch),南宋,南宋,PASS_DATA_PRESENT,0,南宋,宋辽金夏/宋辽金夏,161,1127,1279,1127,1279,,《宋史·二王本纪》,1279年崖山海战，陆秀夫负帝昺投海殉国，南宋彻底灭亡
10,v1.0.0-batch17_18 (Final Batch),元朝,元朝,PASS_DATA_PRESENT,0,元朝,元明清/元明清,108,1271,1368,1271,1368,,《元史》/《明史》,1368年明军将领徐达攻陷大都，元顺帝北逃，作为中原大一统王朝的元朝结束
11,v1.0.0-batch17_18 (Final Batch),北元,北元,PASS_DATA_PRESENT,0,北元,元明清/元明清,21,1368,1388,1368,1388,,《明史》/蒙古史料,1388年捕鱼儿海之战后，元天元帝脱古思帖木儿遇弑，“大元”国号废除
12,v1.0.0-batch17_18 (Final Batch),明朝,明朝,PASS_DATA_PRESENT,0,明朝,元明清/元明清,293,1368,1644,1368,1644,,《明史·庄烈帝本纪》,1644年李自成农民军攻入北京，崇祯帝煤山自缢，明朝全国性政权覆亡
13,v1.0.0-batch17_18 (Final Batch),后金,后金,PASS_DATA_PRESENT,0,後金,元明清/元明清,44,1616,1636,1616,1636,,《清史稿·太宗本纪》,1616年努尔哈赤建国号金，1636年皇太极改国号为大清
14,v1.0.0-batch17_18 (Final Batch),清朝,清朝,PASS_DATA_PRESENT,0,清朝,元明清/元明清,286,1636,1912,1636,1912,,《清史稿》/《宣统帝退位诏书》,1912年2月12日隆裕太后颁布《宣统帝退位诏书》，清朝灭亡
15,v1.0.0-batch17_18 (Final Batch),南明,南明,PASS_DATA_PRESENT,0,南明,元明清/元明清,19,1644,1662,1644,1662,,《明史》附录/南明史,1644年弘光帝在南京称帝，1662年永历帝在云南被吴三桂绞杀，南明政权终结
16,v1.0.0-batch15_16,后梁,后梁,PASS_DATA_PRESENT,0,后梁 | 後梁,五代十国/五代 | 五代十国/五代十国,89,907,923,907,923,,《旧五代史·梁书》,923年后唐李存勖攻入汴州，后梁亡 || 923年后唐李存勖攻入汴州，后梁灭亡
17,v1.0.0-batch15_16,马楚,马楚,PASS_DATA_PRESENT,0,馬楚,五代十国/五代十国 | 五代十国/十国,188,907,951,907,951,,《新五代史·楚世家》,951年南唐乘内乱灭楚
18,v1.0.0-batch15_16,闽,闽,PASS_DATA_PRESENT,0,閩,五代十国/五代十国 | 五代十国/十国,129,909,945,909,945,,《新五代史·闽世家》,945年被南唐所灭
19,v1.0.0-batch15_16,桀燕,桀燕,PASS_DATA_PRESENT,0,桀燕,五代十国/五代十国,3,911,913,911,913,,《旧五代史·刘守光传》,913年晋王李存勖攻陷幽州，刘守光被俘杀
20,v1.0.0-batch15_16,辽朝,辽朝,PASS_DATA_PRESENT,0,遼朝,宋辽金夏/宋辽金夏,218,916,1125,916,1125,,《辽史·天祚皇帝本纪》,1125年天祚帝被金军俘虏，辽朝彻底灭亡
21,v1.0.0-batch15_16,南汉,南汉,PASS_DATA_PRESENT,0,南汉 | 南漢,五代十国/五代十国 | 五代十国/十国,113,917,971,917,971,,《宋史·世家》,971年北宋灭南汉 || 971年宋将潘美攻破广州，南汉后主降宋
22,v1.0.0-batch15_16,南汉(异体),南汉,PASS_DATA_PRESENT,0,南汉 | 南漢,五代十国/五代十国 | 五代十国/十国,113,917,971,917,971,,《宋史·世家》,971年北宋灭南汉 || 971年宋将潘美攻破广州，南汉后主降宋
23,v1.0.0-batch15_16,后唐,后唐,FAIL_BOUNDARY_VIOLATION,3,后唐 | 後唐,五代十国/五代 | 五代十国/五代十国,85,923,937,923,936,,《旧五代史·唐书》,936年石敬瑭借契丹兵引兵入洛阳，后唐废帝自焚，后唐亡 || 936年石敬瑭灭后唐
24,v1.0.0-batch15_16,後唐(异体),後唐,FAIL_BOUNDARY_VIOLATION,3,后唐 | 後唐,五代十国/五代 | 五代十国/五代十国,85,923,937,923,936,,《旧五代史·唐书》,936年石敬瑭借契丹兵引兵入洛阳，后唐废帝自焚，后唐亡 || 936年石敬瑭灭后唐
25,v1.0.0-batch15_16,荆南,荆南,PASS_DATA_PRESENT,0,荆南 | 荊南,五代十国/五代十国 | 五代十国/十国,92,924,963,924,963,,《宋史·世家》,963年归宋 || 963年高继冲纳土归宋
26,v1.0.0-batch15_16,荆南(异体),荆南,PASS_DATA_PRESENT,0,荆南 | 荊南,五代十国/五代十国 | 五代十国/十国,92,924,963,924,963,,《宋史·世家》,963年归宋 || 963年高继冲纳土归宋
27,v1.0.0-batch15_16,后蜀,后蜀,PASS_DATA_PRESENT,0,後蜀,五代十国/五代十国 | 五代十国/十国,192,934,965,934,965,,《宋史·世家》,965年宋军攻破成都，孟昶降宋，后蜀亡
28,v1.0.0-batch15_16,后晋,后晋,PASS_DATA_PRESENT,0,后晋 | 後晉,五代十国/五代 | 五代十国/五代十国,62,936,947,936,947,,《旧五代史·晋书》,947年契丹军攻入汴州，后晋出帝降，后晋亡 || 947年契丹灭后晋
29,v1.0.0-batch15_16,後晉(异体),後晉,PASS_DATA_PRESENT,0,后晋 | 後晉,五代十国/五代 | 五代十国/五代十国,62,936,947,936,947,,《旧五代史·晋书》,947年契丹军攻入汴州，后晋出帝降，后晋亡 || 947年契丹灭后晋
30,v1.0.0-batch15_16,南唐,南唐,FAIL_BOUNDARY_VIOLATION,1,南唐,五代十国/五代十国 | 五代十国/十国,84,937,976,937,975,,《宋史·世家》,975年宋军攻破金陵，李煜出降，南唐亡
31,v1.0.0-batch15_16,中天八国王,中天八国王,PASS_DATA_PRESENT,0,中天八國王,五代十国/五代十国,2,942,943,942,943,,《十国春秋》/地方志,942年张遇贤起义建立，次年兵败身亡
32,v1.0.0-batch15_16,福州/威武军,福州/威武军,PASS_DATA_PRESENT,0,福州/威武军,五代十国/五代十国,3,945,947,945,978,,《宋史》/《新五代史》,945年闽国亡后李氏割据福州，后归入吴越，最终随吴越纳土归宋(978年)
33,v1.0.0-batch15_16,后汉,后汉,PASS_DATA_PRESENT,0,後漢,五代十国/五代 | 五代十国/五代十国,50,947,951,947,951,,《旧五代史·汉书》,951年郭威代汉建周
34,v1.0.0-batch15_16,清源军/平海军,清源军/平海军,PASS_DATA_PRESENT,0,清源军/平海军,五代十国/五代十国,15,949,962,949,978,,《宋史·世家》,949年留从效割据泉漳建清源军，978年陈洪进纳土归宋
35,v1.0.0-batch15_16,后周,后周,PASS_DATA_PRESENT,0,后周 | 後周,五代十国/五代 | 五代十国/五代十国,56,951,960,951,960,,《旧五代史·周书》/《宋史》,960年赵匡胤陈桥兵变建立宋朝，后周灭亡
36,v1.0.0-batch13_14,梁朝,梁朝,PASS_DATA_PRESENT,0,梁朝,魏晋南北朝/南北朝,61,502,557,502,557,,《梁书》/《陈书》,557年梁敬帝禅位于陈霸先，梁朝(南梁)灭亡
37,v1.0.0-batch13_14,高车,高车,PASS_DATA_PRESENT,0,高车,魏晋南北朝/五胡十六国外政权,8,516,522,487,541,,《魏书·高车传》,约487年阿伏至罗建立高车国，541年左右被柔然所灭
38,v1.0.0-batch13_14,东魏,东魏,PASS_DATA_PRESENT,0,東魏,魏晋南北朝/南北朝,68,534,550,534,550,,《魏书》/《北齐书》,550年东魏孝静帝禅位于高洋，东魏灭亡
39,v1.0.0-batch13_14,西魏,西魏,PASS_DATA_PRESENT,0,西魏,魏晋南北朝/南北朝,48,535,557,535,557,,《周书》/《北史》,557年西魏恭帝禅位于宇文觉，西魏灭亡
40,v1.0.0-batch13_14,北齐,北齐,PASS_DATA_PRESENT,0,北齊,魏晋南北朝/南北朝,256,550,577,550,577,,《北齐书》/《周书》,577年被北周(周武帝)所灭
41,v1.0.0-batch13_14,汉(侯景),汉,PASS_DATA_PRESENT,0,漢,魏晋南北朝/南北朝,2,551,552,551,552,,《梁书·侯景传》,551年侯景篡位称帝建国号汉，552年被王僧辩、陈霸先击败身死
42,v1.0.0-batch13_14,西梁,西梁,PASS_DATA_PRESENT,0,西梁,魏晋南北朝/南北朝,35,555,587,555,587,,《隋书》,587年隋文帝废除西梁政权
43,v1.0.0-batch13_14,北周,北周,PASS_DATA_PRESENT,0,北周,魏晋南北朝/南北朝,55,557,581,557,581,,《周书》/《隋书》,581年北周静帝禅位于杨坚，北周灭亡
44,v1.0.0-batch13_14,陈,陈,PASS_DATA_PRESENT,0,陳,魏晋南北朝/南北朝,72,557,589,557,589,,《陈书》/《隋书》,589年隋军攻破建康，陈后主投降，南朝陈灭亡
45,v1.0.0-batch13_14,陈朝,陈朝,PASS_DATA_PRESENT,0,陳朝,魏晋南北朝/南北朝,37,557,589,557,589,,《陈书》/《隋书》,589年隋军攻破建康，南朝陈灭亡
46,v1.0.0-batch13_14,隋朝,隋朝,FAIL_BOUNDARY_VIOLATION,1,隋朝,魏晋南北朝/隋朝,41,581,619,581,618,,《隋书·炀帝纪》,618年江都之变隋炀帝遇弑，隋朝事实灭亡（次年王世充废皇泰主）
47,v1.0.0-batch13_14,唐朝,唐朝,PASS_DATA_PRESENT,0,唐朝,隋唐/唐朝,332,618,907,618,907,,《旧唐书》/《新唐书》,907年唐哀帝禅位于朱温，唐朝灭亡
48,v1.0.0-batch13_14,武周,武周,PASS_DATA_PRESENT,0,武周,隋唐/武周,16,690,705,690,705,,《旧唐书·则天皇后本纪》,690年武则天称帝建周，705年神龙政变唐中宗复辟
49,v1.0.0-batch13_14,卢龙军,卢龙军,PASS_DATA_PRESENT,0,卢龙军,五代十国/五代十国,12,897,907,897,913,,《旧五代史·刘守光传》,刘仁恭、刘守光割据(后建桀燕)，913年被晋王李存勖所灭
50,v1.0.0-batch13_14,岐,岐,PASS_DATA_PRESENT,0,岐,五代十国/五代十国,24,901,924,901,924,,《新五代史·李茂贞传》,924年李茂贞向后唐称臣，岐国政权终结
51,v1.0.0-batch13_14,杨吴,杨吴,PASS_DATA_PRESENT,0,楊吳,五代十国/五代十国 | 五代十国/十国,140,902,937,902 | 907,937,,《新五代史·吴世家》,937年吴主杨溥禅位于李昪，南唐建立，杨吴灭亡
52,v1.0.0-batch13_14,前蜀,前蜀,FAIL_BOUNDARY_VIOLATION,4,前蜀,五代十国/五代十国 | 五代十国/十国,43,903,925,907,925,,《新五代史·前蜀世家》,907年王建称帝，925年被后唐(庄宗)所灭
53,v1.0.0-batch13_14,静海军,静海军,PASS_DATA_PRESENT,0,靜海軍,五代十国/五代十国,4,905,907,905,938,,《大越史记全书》,905年曲氏建立半独立政权，至938年吴权击败南汉建立吴朝为止
54,v1.0.0-batch13_14,后梁,后梁,PASS_DATA_PRESENT,0,后梁 | 後梁,五代十国/五代 | 五代十国/五代十国,89,907,923,907,923,,《旧五代史·梁书》,923年后唐李存勖攻入汴州，后梁亡 || 923年后唐李存勖攻入汴州，后梁灭亡
55,v1.0.0-batch13_14,吴越,吴越,PASS_DATA_PRESENT,0,吳越,五代十国/五代十国 | 五代十国/十国,224,907,978,907,978,,《宋史·吴越世家》,978年钱俶纳土归宋，吴越国灭亡
56,v1.0.0-batch11_12,北魏,北魏,FAIL_BOUNDARY_VIOLATION,1,北魏,魏晋南北朝/五胡十六国 | 魏晋南北朝/南北朝,470,386,535,386,534,,《魏书》/《北史》,534年孝武帝西奔长安，北魏正式分裂为东魏与西魏
57,v1.0.0-batch11_12,后凉,后凉,PASS_DATA_PRESENT,0,後涼,魏晋南北朝/五胡十六国,80,386,403,386,403,,《晋书·吕光等载记》,403年吕隆降于后秦，后凉灭亡
58,v1.0.0-batch11_12,翟魏,翟魏,PASS_DATA_PRESENT,0,翟魏,魏晋南北朝/五胡十六国外政权,6,388,392,388,392,,《晋书》/《资治通鉴》,392年被后燕慕容垂所灭
59,v1.0.0-batch11_12,北凉,北凉,PASS_DATA_PRESENT,0,北涼,魏晋南北朝/五胡十六国,184,397,439,397,439,,《魏书》/《晋书》,439年被北魏太武帝拓跋焘所灭
60,v1.0.0-batch11_12,南凉,南凉,PASS_DATA_PRESENT,0,南涼,魏晋南北朝/五胡十六国,88,397,414,397,414,,《晋书·秃发乌孤等载记》,414年被西秦乞伏炽磐所灭
61,v1.0.0-batch11_12,南燕,南燕,PASS_DATA_PRESENT,0,南燕,魏晋南北朝/五胡十六国,15,398,410,398,410,,《晋书·慕容德等载记》,410年被东晋(刘裕北伐)所灭
62,v1.0.0-batch11_12,西凉,西凉,PASS_DATA_PRESENT,0,西涼,魏晋南北朝/五胡十六国,96,400,421,400,421,,《晋书·李玄盛等载记》,421年被北凉沮渠蒙逊所灭
63,v1.0.0-batch11_12,柔然,柔然,PASS_DATA_PRESENT,0,柔然,魏晋南北朝/五胡十六国外政权,10,402,410,402,555,,《魏书》/《北史》,555年被突厥彻底消灭
64,v1.0.0-batch11_12,桓楚,桓楚,FAIL_BOUNDARY_VIOLATION,1,桓楚,魏晋南北朝/五胡十六国外政权,5,403,405,403,404,,《晋书·桓玄传》,403年桓玄篡晋建楚，404年败亡
65,v1.0.0-batch11_12,谯蜀,谯蜀,PASS_DATA_PRESENT,0,譙蜀,魏晋南北朝/五胡十六国外政权,18,405,413,405,413,,《晋书·谯纵传》,413年被东晋朱龄石平定
66,v1.0.0-batch11_12,北燕,北燕,PASS_DATA_PRESENT,0,北燕,魏晋南北朝/五胡十六国,32,407,436,407,436,,《晋书·冯跋等载记》,436年被北魏所灭
67,v1.0.0-batch11_12,胡夏,胡夏,PASS_DATA_PRESENT,0,胡夏,魏晋南北朝/五胡十六国,27,407,431,407,431,,《晋书·赫连勃勃载记》,431年赫连定被吐谷浑俘获送交北魏，胡夏灭亡
68,v1.0.0-batch11_12,刘宋,刘宋,PASS_DATA_PRESENT,0,劉宋,魏晋南北朝/五胡十六国 | 魏晋南北朝/南北朝,254,420,479,420,479,,《宋书》/《南史》,479年宋顺帝禅位于萧道成，刘宋灭亡
69,v1.0.0-batch11_12,宋,宋,PASS_DATA_PRESENT,0,宋,魏晋南北朝/南北朝,3,420,422,420,479,,《宋书》/《南史》,479年宋顺帝禅位于萧道成，刘宋灭亡
70,v1.0.0-batch11_12,邓至,邓至,PASS_DATA_PRESENT,0,邓至 | 鄧至,魏晋南北朝/五胡十六国外政权,133,430,554,430 | 502,554,,《魏书》/《周书》,554年被西魏(北周代魏前夕)所灭 || 554年被西魏所灭
71,v1.0.0-batch11_12,宕昌,宕昌,PASS_DATA_PRESENT,0,宕昌,魏晋南北朝/五胡十六国外政权,74,478,550,478,564,,《周书》,564年被北周大将田弘讨灭
72,v1.0.0-batch11_12,南齐,南齐,PASS_DATA_PRESENT,0,南齊,魏晋南北朝/南北朝,60,479,502,479,502,,《南齐书》/《梁书》,502年齐和帝禅位于萧衍，南齐灭亡
73,v1.0.0-batch11_12,齐,齐,PASS_DATA_PRESENT,0,齐,魏晋南北朝/南北朝,5,479,482,479,502,,《南齐书》/《梁书》,502年齐和帝禅位于萧衍，南齐灭亡
74,v1.0.0-batch11_12,邓至(异体),邓至,PASS_DATA_PRESENT,0,邓至 | 鄧至,魏晋南北朝/五胡十六国外政权,133,430,554,430 | 502,554,,《魏书》/《周书》,554年被西魏(北周代魏前夕)所灭 || 554年被西魏所灭
75,v1.0.0-batch11_12,梁,梁,PASS_DATA_PRESENT,0,梁,魏晋南北朝/南北朝,51,502,549,502,557,,《梁书》/《陈书》,557年梁敬帝禅位于陈霸先，南梁灭亡
76,v1.0.0-batch9_10,西晋,西晋,PASS_DATA_PRESENT,0,西晉,两晋/五胡十六国 | 两晋/西晉,116,266,316,266 | 306,316,,《晋书·愍帝纪》,316年长安陷落，晋愍帝出降汉赵（前赵），西晋亡
77,v1.0.0-batch9_10,前仇池,前仇池,PASS_DATA_PRESENT,0,前仇池,魏晋南北朝/五胡十六国外政权,76,296,371,296,371,,《晋书》/《十六国春秋》,371年被前秦苻坚所灭
78,v1.0.0-batch9_10,宇文部,宇文部,PASS_DATA_PRESENT,0,宇文部,魏晋南北朝/五胡十六国外政权,43,302,344,302,344,,《晋书·慕容皝载记》,344年被前燕击破，部众散亡被吞并
79,v1.0.0-batch9_10,段部鲜卑,段部鲜卑,PASS_DATA_PRESENT,0,段部鮮卑,魏晋南北朝/五胡十六国外政权,18,303,310,303,339,,《晋书·段匹磾等传》,339年被前燕与后赵联军夹击而亡(其后割据余部于359年彻底覆灭)
