order,version,phase,release_item,item_base_norm,matched_contexts,matched_polity_names,declared_ranges,actual_year_ranges,row_count,actual_year_count,boundary_extra_count,missing_year_count,boundary_extra_years,missing_years,source_titles,source_raw,status,review_note
1,v1.0.0-batch17_18 (Final Batch),宋元明清时期 第 17 及 18 批,北汉,北汉,五代十国/五代十国 | 五代十国/十国,北漢 | 北汉,951..979 | 951..979,951..979 | 951..979,60,58,0,0,,,《宋史·世家》,979年宋太宗赵光义亲征攻克太原，北汉主刘继元投降，北汉亡 | 979年降宋,PASS_YEAR_COVERAGE,
2,v1.0.0-batch17_18 (Final Batch),宋元明清时期 第 17 及 18 批,后周(二次核对),后周,五代十国/五代 | 五代十国/五代十国,后周 | 後周,951..960 | 951..960,951..960 | 951..960,33,20,0,0,,,《旧五代史·周书》/《宋史》,960年赵匡胤陈桥兵变建立宋朝，后周灭亡,PASS_YEAR_COVERAGE,
3,v1.0.0-batch17_18 (Final Batch),宋元明清时期 第 17 及 18 批,武平军,武平军,五代十国/五代十国,武平军,951..963,951..953,4,3,0,10,,武平军:954..963,《宋史》/《新五代史》,951年刘言等割据湖南(原马楚地)，963年周保权降宋，武平军节度使割据终结,FAIL_MISSING_YEARS,v0.2 metadata and expanded year rows are inconsistent; regenerate/remove/add rows for this polity context.
4,v1.0.0-batch17_18 (Final Batch),宋元明清时期 第 17 及 18 批,北汉(异体),北汉,五代十国/五代十国 | 五代十国/十国,北漢 | 北汉,951..979 | 951..979,951..979 | 951..979,60,58,0,0,,,《宋史·世家》,979年宋太宗赵光义亲征攻克太原，北汉主刘继元投降，北汉亡 | 979年降宋,PASS_YEAR_COVERAGE,
5,v1.0.0-batch17_18 (Final Batch),宋元明清时期 第 17 及 18 批,北宋,北宋,宋辽金夏/宋辽金夏,北宋,960..1127,960..1127,176,168,0,0,,,《宋史·钦宗纪》,1127年靖康之变，金军攻破开封俘虏徽钦二帝，北宋灭亡,PASS_YEAR_COVERAGE,
6,v1.0.0-batch17_18 (Final Batch),宋元明清时期 第 17 及 18 批,西夏,西夏,宋辽金夏/宋辽金夏,西夏,1038..1227,1038..1227,192,190,0,0,,,《西夏书事》/《元史》,1227年夏末帝李睍投降蒙古，随后被杀，西夏灭亡,PASS_YEAR_COVERAGE,
7,v1.0.0-batch17_18 (Final Batch),宋元明清时期 第 17 及 18 批,金朝,金朝,宋辽金夏/宋辽金夏,金朝,1115..1234,1115..1234,128,120,0,0,,,《金史·哀宗本纪》,1234年蒙宋联军攻破蔡州，金哀宗自缢，金末帝战死，金朝亡,PASS_YEAR_COVERAGE,
8,v1.0.0-batch17_18 (Final Batch),宋元明清时期 第 17 及 18 批,西辽,西辽,宋辽金夏/宋辽金夏,西遼,1124..1218,1124..1218,95,95,0,0,,,《辽史》/《元史》,1218年哲别率领蒙古大军攻灭西辽（屈出律被杀）,PASS_YEAR_COVERAGE,
9,v1.0.0-batch17_18 (Final Batch),宋元明清时期 第 17 及 18 批,南宋,南宋,宋辽金夏/宋辽金夏,南宋,1127..1279,1127..1279,161,153,0,0,,,《宋史·二王本纪》,1279年崖山海战，陆秀夫负帝昺投海殉国，南宋彻底灭亡,PASS_YEAR_COVERAGE,
10,v1.0.0-batch17_18 (Final Batch),宋元明清时期 第 17 及 18 批,元朝,元朝,元明清/元明清,元朝,1271..1368,1271..1368,108,98,0,0,,,《元史》/《明史》,1368年明军将领徐达攻陷大都，元顺帝北逃，作为中原大一统王朝的元朝结束,PASS_YEAR_COVERAGE,
11,v1.0.0-batch17_18 (Final Batch),宋元明清时期 第 17 及 18 批,北元,北元,元明清/元明清,北元,1368..1388,1368..1388,21,21,0,0,,,《明史》/蒙古史料,1388年捕鱼儿海之战后，元天元帝脱古思帖木儿遇弑，“大元”国号废除,PASS_YEAR_COVERAGE,
12,v1.0.0-batch17_18 (Final Batch),宋元明清时期 第 17 及 18 批,明朝,明朝,元明清/元明清,明朝,1368..1644,1368..1644,293,277,0,0,,,《明史·庄烈帝本纪》,1644年李自成农民军攻入北京，崇祯帝煤山自缢，明朝全国性政权覆亡,PASS_YEAR_COVERAGE,
13,v1.0.0-batch17_18 (Final Batch),宋元明清时期 第 17 及 18 批,后金,后金,元明清/元明清,後金,1616..1636,1616..1636,22,21,0,0,,,《清史稿·太宗本纪》,1616年努尔哈赤建国号金，1636年皇太极改国号为大清,PASS_YEAR_COVERAGE,
14,v1.0.0-batch17_18 (Final Batch),宋元明清时期 第 17 及 18 批,清朝,清朝,元明清/元明清,清朝,1636..1912,1636..1912,286,277,0,0,,,《清史稿》/《宣统帝退位诏书》,1912年2月12日隆裕太后颁布《宣统帝退位诏书》，清朝灭亡,PASS_YEAR_COVERAGE,
15,v1.0.0-batch17_18 (Final Batch),宋元明清时期 第 17 及 18 批,南明,南明,元明清/元明清,南明,1644..1662,1644..1662,19,19,0,0,,,《明史》附录/南明史,1644年弘光帝在南京称帝，1662年永历帝在云南被吴三桂绞杀，南明政权终结,PASS_YEAR_COVERAGE,
16,v1.0.0-batch15_16,五代十国时期 第 15 及 16 批,后梁,后梁,五代十国/五代 | 五代十国/五代十国,后梁 | 後梁,907..923 | 907..923,907..923 | 907..923,53,34,0,0,,,《旧五代史·梁书》,923年后唐李存勖攻入汴州，后梁灭亡 | 923年后唐李存勖攻入汴州，后梁亡,PASS_YEAR_COVERAGE,
17,v1.0.0-batch15_16,五代十国时期 第 15 及 16 批,马楚,马楚,五代十国/五代十国 | 五代十国/十国,馬楚 | 馬楚,907..951 | 907..951,907..951 | 907..951,94,90,0,0,,,《新五代史·楚世家》,951年南唐乘内乱灭楚,PASS_YEAR_COVERAGE,
18,v1.0.0-batch15_16,五代十国时期 第 15 及 16 批,闽,闽,五代十国/五代十国 | 五代十国/十国,閩 | 閩,909..945 | 909..945,909..945 | 909..945,83,74,0,0,,,《新五代史·闽世家》,945年被南唐所灭,PASS_YEAR_COVERAGE,
19,v1.0.0-batch15_16,五代十国时期 第 15 及 16 批,桀燕,桀燕,五代十国/五代十国,桀燕,911..913,911..913,3,3,0,0,,,《旧五代史·刘守光传》,913年晋王李存勖攻陷幽州，刘守光被俘杀,PASS_YEAR_COVERAGE,
20,v1.0.0-batch15_16,五代十国时期 第 15 及 16 批,辽朝,辽朝,宋辽金夏/宋辽金夏,遼朝,916..1125,916..1125,218,210,0,0,,,《辽史·天祚皇帝本纪》,1125年天祚帝被金军俘虏，辽朝彻底灭亡,PASS_YEAR_COVERAGE,
21,v1.0.0-batch15_16,五代十国时期 第 15 及 16 批,南汉,南汉,五代十国/五代十国 | 五代十国/十国,南漢 | 南汉,917..971 | 917..971,917..971 | 917..971,113,110,0,0,,,《宋史·世家》,971年宋将潘美攻破广州，南汉后主降宋 | 971年北宋灭南汉,PASS_YEAR_COVERAGE,
22,v1.0.0-batch15_16,五代十国时期 第 15 及 16 批,南汉(异体),南汉,五代十国/五代十国 | 五代十国/十国,南漢 | 南汉,917..971 | 917..971,917..971 | 917..971,113,110,0,0,,,《宋史·世家》,971年宋将潘美攻破广州，南汉后主降宋 | 971年北宋灭南汉,PASS_YEAR_COVERAGE,
23,v1.0.0-batch15_16,五代十国时期 第 15 及 16 批,后唐,后唐,五代十国/五代 | 五代十国/五代十国,后唐 | 後唐,923..936 | 923..936,923..937 | 923..937,50,30,2,0,后唐:937 | 後唐:937,,《旧五代史·唐书》,936年石敬瑭借契丹兵引兵入洛阳，后唐废帝自焚，后唐亡 | 936年石敬瑭灭后唐,FAIL_BOUNDARY_VIOLATION,v0.2 metadata and expanded year rows are inconsistent; regenerate/remove/add rows for this polity context.
24,v1.0.0-batch15_16,五代十国时期 第 15 及 16 批,後唐(异体),后唐,五代十国/五代 | 五代十国/五代十国,后唐 | 後唐,923..936 | 923..936,923..937 | 923..937,50,30,2,0,后唐:937 | 後唐:937,,《旧五代史·唐书》,936年石敬瑭借契丹兵引兵入洛阳，后唐废帝自焚，后唐亡 | 936年石敬瑭灭后唐,FAIL_BOUNDARY_VIOLATION,v0.2 metadata and expanded year rows are inconsistent; regenerate/remove/add rows for this polity context.
25,v1.0.0-batch15_16,五代十国时期 第 15 及 16 批,荆南,荆南,五代十国/五代十国 | 五代十国/十国,荊南 | 荆南,924..963 | 924..963,924..963 | 924..963,92,80,0,0,,,《宋史·世家》,963年高继冲纳土归宋 | 963年归宋,PASS_YEAR_COVERAGE,
26,v1.0.0-batch15_16,五代十国时期 第 15 及 16 批,荆南(异体),荆南,五代十国/五代十国 | 五代十国/十国,荊南 | 荆南,924..963 | 924..963,924..963 | 924..963,92,80,0,0,,,《宋史·世家》,963年高继冲纳土归宋 | 963年归宋,PASS_YEAR_COVERAGE,
27,v1.0.0-batch15_16,五代十国时期 第 15 及 16 批,后蜀,后蜀,五代十国/五代十国 | 五代十国/十国,後蜀 | 後蜀,934..965 | 934..965,934..965 | 934..965,64,64,0,0,,,《宋史·世家》,965年宋军攻破成都，孟昶降宋，后蜀亡,PASS_YEAR_COVERAGE,
28,v1.0.0-batch15_16,五代十国时期 第 15 及 16 批,后晋,后晋,五代十国/五代 | 五代十国/五代十国,后晋 | 後晉,936..947 | 936..947,936..947 | 936..947,37,24,0,0,,,《旧五代史·晋书》,947年契丹军攻入汴州，后晋出帝降，后晋亡 | 947年契丹灭后晋,PASS_YEAR_COVERAGE,
29,v1.0.0-batch15_16,五代十国时期 第 15 及 16 批,後晉(异体),后晋,五代十国/五代 | 五代十国/五代十国,后晋 | 後晉,936..947 | 936..947,936..947 | 936..947,37,24,0,0,,,《旧五代史·晋书》,947年契丹军攻入汴州，后晋出帝降，后晋亡 | 947年契丹灭后晋,PASS_YEAR_COVERAGE,
30,v1.0.0-batch15_16,五代十国时期 第 15 及 16 批,南唐,南唐,五代十国/五代十国 | 五代十国/十国,南唐 | 南唐,937..975 | 937..975,937..976 | 937..975,84,79,1,0,南唐:976,,《宋史·世家》,975年宋军攻破金陵，李煜出降，南唐亡,FAIL_BOUNDARY_VIOLATION,v0.2 metadata and expanded year rows are inconsistent; regenerate/remove/add rows for this polity context.
31,v1.0.0-batch15_16,五代十国时期 第 15 及 16 批,中天八国王,中天八国王,五代十国/五代十国,中天八國王,942..943,942..943,2,2,0,0,,,《十国春秋》/地方志,942年张遇贤起义建立，次年兵败身亡,PASS_YEAR_COVERAGE,
32,v1.0.0-batch15_16,五代十国时期 第 15 及 16 批,福州/威武军,福州/威武军,五代十国/五代十国,福州/威武军,945..978,945..947,3,3,0,31,,福州/威武军:948..978,《宋史》/《新五代史》,945年闽国亡后李氏割据福州，后归入吴越，最终随吴越纳土归宋(978年),FAIL_MISSING_YEARS,v0.2 metadata and expanded year rows are inconsistent; regenerate/remove/add rows for this polity context.
33,v1.0.0-batch15_16,五代十国时期 第 15 及 16 批,后汉,后汉,五代十国/五代 | 五代十国/五代十国,後漢 | 後漢,947..951 | 947..951,947..951 | 947..951,15,10,0,0,,,《旧五代史·汉书》,951年郭威代汉建周,PASS_YEAR_COVERAGE,
34,v1.0.0-batch15_16,五代十国时期 第 15 及 16 批,清源军/平海军,清源军/平海军,五代十国/五代十国,清源军/平海军,949..978,949..962,15,14,0,16,,清源军/平海军:963..978,《宋史·世家》,949年留从效割据泉漳建清源军，978年陈洪进纳土归宋,FAIL_MISSING_YEARS,v0.2 metadata and expanded year rows are inconsistent; regenerate/remove/add rows for this polity context.
35,v1.0.0-batch15_16,五代十国时期 第 15 及 16 批,后周,后周,五代十国/五代 | 五代十国/五代十国,后周 | 後周,951..960 | 951..960,951..960 | 951..960,33,20,0,0,,,《旧五代史·周书》/《宋史》,960年赵匡胤陈桥兵变建立宋朝，后周灭亡,PASS_YEAR_COVERAGE,
36,v1.0.0-batch13_14,隋唐五代时期 第 13 及 14 批,梁朝,梁朝,魏晋南北朝/南北朝,梁朝,502..557,502..557,61,56,0,0,,,《梁书》/《陈书》,557年梁敬帝禅位于陈霸先，梁朝(南梁)灭亡,PASS_YEAR_COVERAGE,
37,v1.0.0-batch13_14,隋唐五代时期 第 13 及 14 批,高车,高车,魏晋南北朝/五胡十六国外政权,高车,487..541,516..522,8,7,0,48,,高车:487..515;523..541,《魏书·高车传》,约487年阿伏至罗建立高车国，541年左右被柔然所灭,FAIL_MISSING_YEARS,v0.2 metadata and expanded year rows are inconsistent; regenerate/remove/add rows for this polity context.
38,v1.0.0-batch13_14,隋唐五代时期 第 13 及 14 批,东魏,东魏,魏晋南北朝/南北朝,東魏,534..550,534..550,34,17,0,0,,,《魏书》/《北齐书》,550年东魏孝静帝禅位于高洋，东魏灭亡,PASS_YEAR_COVERAGE,
39,v1.0.0-batch13_14,隋唐五代时期 第 13 及 14 批,西魏,西魏,魏晋南北朝/南北朝,西魏,535..557,535..557,48,23,0,0,,,《周书》/《北史》,557年西魏恭帝禅位于宇文觉，西魏灭亡,PASS_YEAR_COVERAGE,
40,v1.0.0-batch13_14,隋唐五代时期 第 13 及 14 批,北齐,北齐,魏晋南北朝/南北朝,北齊,550..577,550..577,64,28,0,0,,,《北齐书》/《周书》,577年被北周(周武帝)所灭,PASS_YEAR_COVERAGE,
41,v1.0.0-batch13_14,隋唐五代时期 第 13 及 14 批,汉(侯景),汉,魏晋南北朝/南北朝,漢,551..552,551..552,2,2,0,0,,,《梁书·侯景传》,551年侯景篡位称帝建国号汉，552年被王僧辩、陈霸先击败身死,PASS_YEAR_COVERAGE,
42,v1.0.0-batch13_14,隋唐五代时期 第 13 及 14 批,西梁,西梁,魏晋南北朝/南北朝,西梁,555..587,555..587,35,33,0,0,,,《隋书》,587年隋文帝废除西梁政权,PASS_YEAR_COVERAGE,
43,v1.0.0-batch13_14,隋唐五代时期 第 13 及 14 批,北周,北周,魏晋南北朝/南北朝,北周,557..581,557..581,55,25,0,0,,,《周书》/《隋书》,581年北周静帝禅位于杨坚，北周灭亡,PASS_YEAR_COVERAGE,
44,v1.0.0-batch13_14,隋唐五代时期 第 13 及 14 批,陈,陈,魏晋南北朝/南北朝,陳,557..589,557..589,36,33,0,0,,,《陈书》/《隋书》,589年隋军攻破建康，陈后主投降，南朝陈灭亡,PASS_YEAR_COVERAGE,
45,v1.0.0-batch13_14,隋唐五代时期 第 13 及 14 批,陈朝,陈朝,魏晋南北朝/南北朝,陳朝,557..589,557..589,37,33,0,0,,,《陈书》/《隋书》,589年隋军攻破建康，南朝陈灭亡,PASS_YEAR_COVERAGE,
46,v1.0.0-batch13_14,隋唐五代时期 第 13 及 14 批,隋朝,隋朝,魏晋南北朝/隋朝,隋朝,581..618,581..619,41,39,1,0,隋朝:619,,《隋书·炀帝纪》,618年江都之变隋炀帝遇弑，隋朝事实灭亡（次年王世充废皇泰主）,FAIL_BOUNDARY_VIOLATION,v0.2 metadata and expanded year rows are inconsistent; regenerate/remove/add rows for this polity context.
47,v1.0.0-batch13_14,隋唐五代时期 第 13 及 14 批,唐朝,唐朝,隋唐/唐朝,唐朝,618..907,618..907,332,290,0,0,,,《旧唐书》/《新唐书》,907年唐哀帝禅位于朱温，唐朝灭亡,PASS_YEAR_COVERAGE,
48,v1.0.0-batch13_14,隋唐五代时期 第 13 及 14 批,武周,武周,隋唐/武周,武周,690..705,690..705,16,16,0,0,,,《旧唐书·则天皇后本纪》,690年武则天称帝建周，705年神龙政变唐中宗复辟,PASS_YEAR_COVERAGE,
49,v1.0.0-batch13_14,隋唐五代时期 第 13 及 14 批,卢龙军,卢龙军,五代十国/五代十国,卢龙军,897..913,897..907,12,11,0,6,,卢龙军:908..913,《旧五代史·刘守光传》,刘仁恭、刘守光割据(后建桀燕)，913年被晋王李存勖所灭,FAIL_MISSING_YEARS,v0.2 metadata and expanded year rows are inconsistent; regenerate/remove/add rows for this polity context.
50,v1.0.0-batch13_14,隋唐五代时期 第 13 及 14 批,岐,岐,五代十国/五代十国,岐,901..924,901..924,24,24,0,0,,,《新五代史·李茂贞传》,924年李茂贞向后唐称臣，岐国政权终结,PASS_YEAR_COVERAGE,
51,v1.0.0-batch13_14,隋唐五代时期 第 13 及 14 批,杨吴,杨吴,五代十国/十国 | 五代十国/五代十国,楊吳 | 楊吳,902..937 | 907..937,902..937 | 907..937,70,67,0,0,,,《新五代史·吴世家》,937年吴主杨溥禅位于李昪，南唐建立，杨吴灭亡,PASS_YEAR_COVERAGE,
52,v1.0.0-batch13_14,隋唐五代时期 第 13 及 14 批,前蜀,前蜀,五代十国/十国 | 五代十国/五代十国,前蜀 | 前蜀,907..925 | 907..925,903..925 | 907..925,43,42,4,0,前蜀:903..906,,《新五代史·前蜀世家》,907年王建称帝，925年被后唐(庄宗)所灭,FAIL_BOUNDARY_VIOLATION,v0.2 metadata and expanded year rows are inconsistent; regenerate/remove/add rows for this polity context.
53,v1.0.0-batch13_14,隋唐五代时期 第 13 及 14 批,静海军,静海军,五代十国/五代十国,靜海軍,905..938,905..907,4,3,0,31,,靜海軍:908..938,《大越史记全书》,905年曲氏建立半独立政权，至938年吴权击败南汉建立吴朝为止,FAIL_MISSING_YEARS,v0.2 metadata and expanded year rows are inconsistent; regenerate/remove/add rows for this polity context.
54,v1.0.0-batch13_14,隋唐五代时期 第 13 及 14 批,后梁,后梁,五代十国/五代 | 五代十国/五代十国,后梁 | 後梁,907..923 | 907..923,907..923 | 907..923,53,34,0,0,,,《旧五代史·梁书》,923年后唐李存勖攻入汴州，后梁灭亡 | 923年后唐李存勖攻入汴州，后梁亡,PASS_YEAR_COVERAGE,
55,v1.0.0-batch13_14,隋唐五代时期 第 13 及 14 批,吴越,吴越,五代十国/五代十国 | 五代十国/十国,吳越 | 吳越,907..978 | 907..978,907..978 | 907..978,148,144,0,0,,,《宋史·吴越世家》,978年钱俶纳土归宋，吴越国灭亡,PASS_YEAR_COVERAGE,
56,v1.0.0-batch11_12,南北朝时期 第 11 及 12 批,北魏,北魏,魏晋南北朝/五胡十六国 | 魏晋南北朝/南北朝,北魏 | 北魏,386..534 | 386..534,386..535 | 386..534,470,299,1,0,北魏:535,,《魏书》/《北史》,534年孝武帝西奔长安，北魏正式分裂为东魏与西魏,FAIL_BOUNDARY_VIOLATION,v0.2 metadata and expanded year rows are inconsistent; regenerate/remove/add rows for this polity context.
57,v1.0.0-batch11_12,南北朝时期 第 11 及 12 批,后凉,后凉,魏晋南北朝/五胡十六国,後涼,386..403,386..403,20,18,0,0,,,《晋书·吕光等载记》,403年吕隆降于后秦，后凉灭亡,PASS_YEAR_COVERAGE,
58,v1.0.0-batch11_12,南北朝时期 第 11 及 12 批,翟魏,翟魏,魏晋南北朝/五胡十六国外政权,翟魏,388..392,388..392,6,5,0,0,,,《晋书》/《资治通鉴》,392年被后燕慕容垂所灭,PASS_YEAR_COVERAGE,
59,v1.0.0-batch11_12,南北朝时期 第 11 及 12 批,北凉,北凉,魏晋南北朝/五胡十六国,北涼,397..439,397..439,46,43,0,0,,,《魏书》/《晋书》,439年被北魏太武帝拓跋焘所灭,PASS_YEAR_COVERAGE,
60,v1.0.0-batch11_12,南北朝时期 第 11 及 12 批,南凉,南凉,魏晋南北朝/五胡十六国,南涼,397..414,397..414,22,18,0,0,,,《晋书·秃发乌孤等载记》,414年被西秦乞伏炽磐所灭,PASS_YEAR_COVERAGE,
61,v1.0.0-batch11_12,南北朝时期 第 11 及 12 批,南燕,南燕,魏晋南北朝/五胡十六国,南燕,398..410,398..410,15,13,0,0,,,《晋书·慕容德等载记》,410年被东晋(刘裕北伐)所灭,PASS_YEAR_COVERAGE,
62,v1.0.0-batch11_12,南北朝时期 第 11 及 12 批,西凉,西凉,魏晋南北朝/五胡十六国,西涼,400..421,400..421,24,22,0,0,,,《晋书·李玄盛等载记》,421年被北凉沮渠蒙逊所灭,PASS_YEAR_COVERAGE,
63,v1.0.0-batch11_12,南北朝时期 第 11 及 12 批,柔然,柔然,魏晋南北朝/五胡十六国外政权,柔然,402..555,402..410,10,9,0,145,,柔然:411..555,《魏书》/《北史》,555年被突厥彻底消灭,FAIL_MISSING_YEARS,v0.2 metadata and expanded year rows are inconsistent; regenerate/remove/add rows for this polity context.
64,v1.0.0-batch11_12,南北朝时期 第 11 及 12 批,桓楚,桓楚,魏晋南北朝/五胡十六国外政权,桓楚,403..404,403..405,5,3,1,0,桓楚:405,,《晋书·桓玄传》,403年桓玄篡晋建楚，404年败亡,FAIL_BOUNDARY_VIOLATION,v0.2 metadata and expanded year rows are inconsistent; regenerate/remove/add rows for this polity context.
65,v1.0.0-batch11_12,南北朝时期 第 11 及 12 批,谯蜀,谯蜀,魏晋南北朝/五胡十六国外政权,譙蜀,405..413,405..413,9,9,0,0,,,《晋书·谯纵传》,413年被东晋朱龄石平定,PASS_YEAR_COVERAGE,
66,v1.0.0-batch11_12,南北朝时期 第 11 及 12 批,北燕,北燕,魏晋南北朝/五胡十六国,北燕,407..436,407..436,32,30,0,0,,,《晋书·冯跋等载记》,436年被北魏所灭,PASS_YEAR_COVERAGE,
67,v1.0.0-batch11_12,南北朝时期 第 11 及 12 批,胡夏,胡夏,魏晋南北朝/五胡十六国,胡夏,407..431,407..431,27,25,0,0,,,《晋书·赫连勃勃载记》,431年赫连定被吐谷浑俘获送交北魏，胡夏灭亡,PASS_YEAR_COVERAGE,
68,v1.0.0-batch11_12,南北朝时期 第 11 及 12 批,刘宋,刘宋,魏晋南北朝/五胡十六国 | 魏晋南北朝/南北朝,劉宋 | 劉宋,420..479 | 420..479,420..479 | 420..479,127,120,0,0,,,《宋书》/《南史》,479年宋顺帝禅位于萧道成，刘宋灭亡,PASS_YEAR_COVERAGE,
69,v1.0.0-batch11_12,南北朝时期 第 11 及 12 批,宋,宋,魏晋南北朝/南北朝,宋,420..479,420..422,3,3,0,57,,宋:423..479,《宋书》/《南史》,479年宋顺帝禅位于萧道成，刘宋灭亡,FAIL_MISSING_YEARS,v0.2 metadata and expanded year rows are inconsistent; regenerate/remove/add rows for this polity context.
70,v1.0.0-batch11_12,南北朝时期 第 11 及 12 批,邓至,邓至,魏晋南北朝/五胡十六国外政权 | 魏晋南北朝/五胡十六国外政权,鄧至 | 邓至,430..554 | 502..554,430..554 | 502..509,133,133,0,45,,邓至:510..554,《魏书》/《周书》,554年被西魏(北周代魏前夕)所灭 | 554年被西魏所灭,FAIL_MISSING_YEARS,v0.2 metadata and expanded year rows are inconsistent; regenerate/remove/add rows for this polity context.
71,v1.0.0-batch11_12,南北朝时期 第 11 及 12 批,宕昌,宕昌,魏晋南北朝/五胡十六国外政权,宕昌,478..564,478..550,74,73,0,14,,宕昌:551..564,《周书》,564年被北周大将田弘讨灭,FAIL_MISSING_YEARS,v0.2 metadata and expanded year rows are inconsistent; regenerate/remove/add rows for this polity context.
72,v1.0.0-batch11_12,南北朝时期 第 11 及 12 批,南齐,南齐,魏晋南北朝/南北朝,南齊,479..502,479..502,30,24,0,0,,,《南齐书》/《梁书》,502年齐和帝禅位于萧衍，南齐灭亡,PASS_YEAR_COVERAGE,
73,v1.0.0-batch11_12,南北朝时期 第 11 及 12 批,齐,齐,魏晋南北朝/南北朝,齐,479..502,479..482,5,4,0,20,,齐:483..502,《南齐书》/《梁书》,502年齐和帝禅位于萧衍，南齐灭亡,FAIL_MISSING_YEARS,v0.2 metadata and expanded year rows are inconsistent; regenerate/remove/add rows for this polity context.
74,v1.0.0-batch11_12,南北朝时期 第 11 及 12 批,邓至(异体),邓至,魏晋南北朝/五胡十六国外政权 | 魏晋南北朝/五胡十六国外政权,鄧至 | 邓至,430..554 | 502..554,430..554 | 502..509,133,133,0,45,,邓至:510..554,《魏书》/《周书》,554年被西魏(北周代魏前夕)所灭 | 554年被西魏所灭,FAIL_MISSING_YEARS,v0.2 metadata and expanded year rows are inconsistent; regenerate/remove/add rows for this polity context.
75,v1.0.0-batch11_12,南北朝时期 第 11 及 12 批,梁,梁,魏晋南北朝/南北朝,梁,502..557,502..549,51,48,0,8,,梁:550..557,《梁书》/《陈书》,557年梁敬帝禅位于陈霸先，南梁灭亡,FAIL_MISSING_YEARS,v0.2 metadata and expanded year rows are inconsistent; regenerate/remove/add rows for this polity context.
76,v1.0.0-batch9_10,两晋十六国时期 第 9 及 10 批,西晋,西晋,两晋/西晉 | 两晋/五胡十六国,西晉 | 西晉,266..316 | 306..316,266..316 | 306..311,58,57,0,5,,西晉:312..316,《晋书·愍帝纪》,316年长安陷落，晋愍帝出降汉赵（前赵），西晋亡,FAIL_MISSING_YEARS,v0.2 metadata and expanded year rows are inconsistent; regenerate/remove/add rows for this polity context.
77,v1.0.0-batch9_10,两晋十六国时期 第 9 及 10 批,前仇池,前仇池,魏晋南北朝/五胡十六国外政权,前仇池,296..371,296..371,76,76,0,0,,,《晋书》/《十六国春秋》,371年被前秦苻坚所灭,PASS_YEAR_COVERAGE,
78,v1.0.0-batch9_10,两晋十六国时期 第 9 及 10 批,宇文部,宇文部,魏晋南北朝/五胡十六国外政权,宇文部,302..344,302..344,43,43,0,0,,,《晋书·慕容皝载记》,344年被前燕击破，部众散亡被吞并,PASS_YEAR_COVERAGE,
79,v1.0.0-batch9_10,两晋十六国时期 第 9 及 10 批,段部鲜卑,段部鲜卑,魏晋南北朝/五胡十六国外政权,段部鮮卑,303..339,303..310,9,8,0,29,,段部鮮卑:311..339,《晋书·段匹磾等传》,339年被前燕与后赵联军夹击而亡(其后割据余部于359年彻底覆灭),FAIL_MISSING_YEARS,v0.2 metadata and expanded year rows are inconsistent; regenerate/remove/add rows for this polity context.
80,v1.0.0-batch9_10,两晋十六国时期 第 9 及 10 批,成汉,成汉,魏晋南北朝/五胡十六国,成漢,304..347,304..347,46,44,0,0,,,《晋书·李雄等载记》,347年东晋桓温西征灭蜀(成汉),PASS_YEAR_COVERAGE,
81,v1.0.0-batch9_10,两晋十六国时期 第 9 及 10 批,汉赵,汉赵,魏晋南北朝/五胡十六国,漢趙,304..329,304..329,29,26,0,0,,,《晋书·刘曜载记》,329年后赵石勒击败擒获刘曜，汉赵灭亡,PASS_YEAR_COVERAGE,
