csv_line,row_id,year,macro_period,dynasty_name,polity_name,polity_start_year,polity_end_year,violation,ruler_name,row_granularity
4,3,-1046,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
50,49,-1045,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
92,91,-1044,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
134,133,-1043,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
176,175,-1042,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
218,217,-1041,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
261,260,-1040,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
312,311,-1039,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
361,360,-1038,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
410,409,-1037,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
459,458,-1036,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
508,507,-1035,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
557,556,-1034,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
606,605,-1033,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
656,655,-1032,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
706,705,-1031,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
756,755,-1030,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
806,805,-1029,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
856,855,-1028,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
906,905,-1027,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
956,955,-1026,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
1006,1005,-1025,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
1056,1055,-1024,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
1106,1105,-1023,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
1156,1155,-1022,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
1205,1204,-1021,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
1254,1253,-1020,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
1303,1302,-1019,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
1352,1351,-1018,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
1401,1400,-1017,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
1450,1449,-1016,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
1499,1498,-1015,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
1548,1547,-1014,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
1597,1596,-1013,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
1646,1645,-1012,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
1695,1694,-1011,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
1744,1743,-1010,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
1793,1792,-1009,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
1842,1841,-1008,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
1891,1890,-1007,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
1940,1939,-1006,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
1989,1988,-1005,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
2038,2037,-1004,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
2087,2086,-1003,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
2136,2135,-1002,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
2185,2184,-1001,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
2234,2233,-1000,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
2283,2282,-999,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
2332,2331,-998,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
2381,2380,-997,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
2430,2429,-996,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
2479,2478,-995,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
2528,2527,-994,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
2577,2576,-993,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
2626,2625,-992,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
2675,2674,-991,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
2724,2723,-990,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
2773,2772,-989,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
2822,2821,-988,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
2871,2870,-987,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
2920,2919,-986,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
2969,2968,-985,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
3018,3017,-984,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
3067,3066,-983,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
3116,3115,-982,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
3165,3164,-981,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
3214,3213,-980,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
3263,3262,-979,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
3312,3311,-978,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
3361,3360,-977,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
3410,3409,-976,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
3459,3458,-975,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
3508,3507,-974,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
3557,3556,-973,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
3606,3605,-972,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
3655,3654,-971,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
3704,3703,-970,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
3753,3752,-969,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
3802,3801,-968,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
3851,3850,-967,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
3900,3899,-966,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
3949,3948,-965,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
3998,3997,-964,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
4047,4046,-963,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
4096,4095,-962,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
4145,4144,-961,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
4194,4193,-960,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
4243,4242,-959,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
4292,4291,-958,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
4341,4340,-957,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
4390,4389,-956,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
4439,4438,-955,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
4488,4487,-954,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
4537,4536,-953,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
4586,4585,-952,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
4635,4634,-951,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
4684,4683,-950,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
4733,4732,-949,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
4782,4781,-948,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
4831,4830,-947,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
4880,4879,-946,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
4929,4928,-945,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
4978,4977,-944,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
5027,5026,-943,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
5076,5075,-942,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
5125,5124,-941,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
5174,5173,-940,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
5223,5222,-939,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
5272,5271,-938,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
5321,5320,-937,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
5370,5369,-936,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
5419,5418,-935,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
5468,5467,-934,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
5517,5516,-933,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
5566,5565,-932,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
5615,5614,-931,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
5664,5663,-930,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
5713,5712,-929,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
5762,5761,-928,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
5811,5810,-927,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
5860,5859,-926,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
5909,5908,-925,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
5958,5957,-924,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
6007,6006,-923,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
6056,6055,-922,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
6106,6105,-921,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
6155,6154,-920,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
6204,6203,-919,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
6253,6252,-918,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
6302,6301,-917,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
6351,6350,-916,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
6400,6399,-915,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
6449,6448,-914,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
6498,6497,-913,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
6547,6546,-912,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
6596,6595,-911,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
6645,6644,-910,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
6694,6693,-909,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
6743,6742,-908,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
6792,6791,-907,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
6841,6840,-906,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
6890,6889,-905,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
6939,6938,-904,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
6988,6987,-903,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
7037,7036,-902,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
7086,7085,-901,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
7135,7134,-900,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
7185,7184,-899,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
7235,7234,-898,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
7285,7284,-897,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
7335,7334,-896,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
7385,7384,-895,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
7435,7434,-894,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
7485,7484,-893,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
7535,7534,-892,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
7585,7584,-891,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
7635,7634,-890,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
7685,7684,-889,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
7735,7734,-888,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
7785,7784,-887,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
7835,7834,-886,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
7885,7884,-885,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
7935,7934,-884,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
7985,7984,-883,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
8035,8034,-882,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
8085,8084,-881,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
8135,8134,-880,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
8185,8184,-879,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
8235,8234,-878,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
8285,8284,-877,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
8335,8334,-876,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
8385,8384,-875,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
8435,8434,-874,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
8485,8484,-873,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
8535,8534,-872,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
8585,8584,-871,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
8635,8634,-870,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
8685,8684,-869,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
8735,8734,-868,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
8785,8784,-867,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
8835,8834,-866,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
8885,8884,-865,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
8935,8934,-864,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
8985,8984,-863,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
9035,9034,-862,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
9085,9084,-861,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
9135,9134,-860,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
9185,9184,-859,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
9235,9234,-858,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
9285,9284,-857,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
9335,9334,-856,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
9385,9384,-855,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
9435,9434,-854,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
9485,9484,-853,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
9535,9534,-852,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
9585,9584,-851,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
9635,9634,-850,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
9685,9684,-849,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
9735,9734,-848,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
9785,9784,-847,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
9835,9834,-846,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
9885,9884,-845,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
9935,9934,-844,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
9985,9984,-843,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
10035,10034,-842,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
10085,10084,-841,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
10137,10136,-840,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
10188,10187,-839,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
10239,10238,-838,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
10290,10289,-837,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
10342,10341,-836,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
10393,10392,-835,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
10445,10444,-834,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
10496,10495,-833,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
10547,10546,-832,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
10598,10597,-831,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
10649,10648,-830,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
10700,10699,-829,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
