capital_event_id,polity_id,capital_name_historical,capital_name_modern,valid_from_year,valid_to_year,longitude,latitude,is_primary,event_type,location_precision,source_titles,source_urls,source_raw,confidence_score,confidence_note
capital_eur_0001,polity_eur_0001,Knossos,Knossos,-1900,-1450,25.1631,35.298,true,initial_capital,city,Encyclopaedia Britannica: Minoan civilization,https://www.britannica.com/topic/Minoan-civilization,Capital coordinates from city-level geocoding.,70,City-level approximation for historical capital marker.
capital_eur_0002,polity_eur_0003,Mycenae,Mycenae,-1600,-1100,22.7568,37.73,true,initial_capital,city,Encyclopaedia Britannica: Mycenaean civilization,https://www.britannica.com/topic/Mycenaean-civilization,Capital coordinates from city-level geocoding.,72,City-level approximation for historical capital marker.
capital_eur_0003,polity_eur_0004,Troy,Troy,-1300,-1180,26.2389,39.9575,true,initial_capital,city,Encyclopaedia Britannica: Greek civilization,https://www.britannica.com/topic/ancient-Greek-civilization,Capital coordinates from city-level geocoding.,65,City-level approximation for historical capital marker.
capital_eur_0004,polity_eur_0005,Hattusa,Hattusa,-1650,-1180,34.6155,40.0186,true,initial_capital,city,Encyclopaedia Britannica: Greek civilization,https://www.britannica.com/topic/ancient-Greek-civilization,Capital coordinates from city-level geocoding.,72,City-level approximation for historical capital marker.
capital_eur_0005,polity_eur_0013,Carthage,Carthage,-814,-146,10.3232,36.8531,true,initial_capital,city,Encyclopaedia Britannica: Carthage,https://www.britannica.com/place/Carthage-ancient-city-Tunisia,Capital coordinates from city-level geocoding.,85,City-level approximation for historical capital marker.
capital_eur_0006,polity_eur_0014,Athens,Athens,-753,-508,23.7275,37.9838,true,initial_capital,city,Encyclopaedia Britannica: Greek civilization,https://www.britannica.com/topic/ancient-Greek-civilization,Capital coordinates from city-level geocoding.,78,City-level approximation for historical capital marker.
capital_eur_0007,polity_eur_0015,Sparta,Sparta,-700,-371,22.4317,37.075,true,initial_capital,city,Encyclopaedia Britannica: Greek civilization,https://www.britannica.com/topic/ancient-Greek-civilization,Capital coordinates from city-level geocoding.,78,City-level approximation for historical capital marker.
capital_eur_0008,polity_eur_0016,Corinth,Corinth,-750,-146,22.9357,37.9381,true,initial_capital,city,Encyclopaedia Britannica: Greek civilization,https://www.britannica.com/topic/ancient-Greek-civilization,Capital coordinates from city-level geocoding.,72,City-level approximation for historical capital marker.
capital_eur_0009,polity_eur_0017,Thebes,Thebes,-1100,-335,23.3158,38.3217,true,initial_capital,city,Encyclopaedia Britannica: Greek civilization,https://www.britannica.com/topic/ancient-Greek-civilization,Capital coordinates from city-level geocoding.,70,City-level approximation for historical capital marker.
capital_eur_0010,polity_eur_0019,Rome,Rome,-753,-509,12.4964,41.9028,true,initial_capital,city,Encyclopaedia Britannica: Ancient Rome,https://www.britannica.com/place/ancient-Rome,Capital coordinates from city-level geocoding.,60,City-level approximation for historical capital marker.
capital_eur_0011,polity_eur_0026,Athens,Athens,-508,-322,23.7275,37.9838,true,initial_capital,city,Encyclopaedia Britannica: Greek civilization,https://www.britannica.com/topic/ancient-Greek-civilization,Capital coordinates from city-level geocoding.,86,City-level approximation for historical capital marker.
capital_eur_0012,polity_eur_0027,Pella,Pella,-400,-310,22.5266,40.7572,true,initial_capital,city,Encyclopaedia Britannica: Greek civilization,https://www.britannica.com/topic/ancient-Greek-civilization,Capital coordinates from city-level geocoding.,82,City-level approximation for historical capital marker.
capital_eur_0013,polity_eur_0028,Pella,Pella,-276,-168,22.5266,40.7572,true,initial_capital,city,Encyclopaedia Britannica: Greek civilization,https://www.britannica.com/topic/ancient-Greek-civilization,Capital coordinates from city-level geocoding.,82,City-level approximation for historical capital marker.
capital_eur_0014,polity_eur_0029,Seleucia,Seleucia,-305,-240,44.5197,33.0863,true,initial_capital,city,Encyclopaedia Britannica: Greek civilization,https://www.britannica.com/topic/ancient-Greek-civilization,Capital coordinates from city-level geocoding.,78,City-level approximation for historical capital marker.
capital_eur_0015,polity_eur_0029,Antioch,Antioch,-240,-63,36.15,36.2025,true,initial_capital,city,Encyclopaedia Britannica: Greek civilization,https://www.britannica.com/topic/ancient-Greek-civilization,Capital coordinates from city-level geocoding.,82,City-level approximation for historical capital marker.
capital_eur_0016,polity_eur_0030,Alexandria,Alexandria,-331,-30,29.9187,31.2001,true,initial_capital,city,Encyclopaedia Britannica: Greek civilization,https://www.britannica.com/topic/ancient-Greek-civilization,Capital coordinates from city-level geocoding.,88,City-level approximation for historical capital marker.
capital_eur_0017,polity_eur_0031,Pergamon,Pergamon,-281,-133,27.1846,39.1322,true,initial_capital,city,Encyclopaedia Britannica: Greek civilization,https://www.britannica.com/topic/ancient-Greek-civilization,Capital coordinates from city-level geocoding.,82,City-level approximation for historical capital marker.
capital_eur_0018,polity_eur_0032,Rome,Rome,-509,-27,12.4964,41.9028,true,initial_capital,city,Encyclopaedia Britannica: Ancient Rome,https://www.britannica.com/place/ancient-Rome,Capital coordinates from city-level geocoding.,92,City-level approximation for historical capital marker.
capital_eur_0019,polity_eur_0033,Rome,Rome,-27,284,12.4964,41.9028,true,initial_capital,city,Encyclopaedia Britannica: Roman Empire,https://www.britannica.com/place/Roman-Empire,Capital coordinates from city-level geocoding.,92,City-level approximation for historical capital marker.
capital_eur_0020,polity_eur_0034,Constantinople,Constantinople,330,395,28.9784,41.0082,true,initial_capital,city,Encyclopaedia Britannica: Roman Empire,https://www.britannica.com/place/Roman-Empire,Capital coordinates from city-level geocoding.,88,City-level approximation for historical capital marker.
capital_eur_0021,polity_eur_0035,Milan,Milan,395,402,9.19,45.4642,true,initial_capital,city,Encyclopaedia Britannica: Roman Empire,https://www.britannica.com/place/Roman-Empire,Capital coordinates from city-level geocoding.,88,City-level approximation for historical capital marker.
capital_eur_0022,polity_eur_0035,Ravenna,Ravenna,402,476,12.2035,44.4173,true,initial_capital,city,Encyclopaedia Britannica: Roman Empire,https://www.britannica.com/place/Roman-Empire,Capital coordinates from city-level geocoding.,90,City-level approximation for historical capital marker.
capital_eur_0023,polity_eur_0036,Constantinople,Constantinople,395,717,28.9784,41.0082,true,initial_capital,city,Encyclopaedia Britannica: Byzantine Empire,https://www.britannica.com/place/Byzantine-Empire,Capital coordinates from city-level geocoding.,90,City-level approximation for historical capital marker.
capital_eur_0024,polity_eur_0037,Ravenna,Ravenna,493,553,12.2035,44.4173,true,initial_capital,city,Encyclopaedia Britannica: Ancient Rome,https://www.britannica.com/place/ancient-Rome,Capital coordinates from city-level geocoding.,82,City-level approximation for historical capital marker.
capital_eur_0025,polity_eur_0038,Toledo,Toledo,507,711,-4.0273,39.8628,true,initial_capital,city,Encyclopaedia Britannica: Spain — History,https://www.britannica.com/place/Spain/History,Capital coordinates from city-level geocoding.,82,City-level approximation for historical capital marker.
capital_eur_0026,polity_eur_0039,Carthage,Carthage,439,534,10.3232,36.8531,true,initial_capital,city,Encyclopaedia Britannica: Ancient Rome,https://www.britannica.com/place/ancient-Rome,Capital coordinates from city-level geocoding.,78,City-level approximation for historical capital marker.
capital_eur_0027,polity_eur_0040,Paris,Paris,511,561,2.3522,48.8566,true,initial_capital,city,Encyclopaedia Britannica: Frankish kingdom,https://www.britannica.com/place/Frankish-kingdom,Capital coordinates from city-level geocoding.,82,City-level approximation for historical capital marker.
capital_eur_0028,polity_eur_0040,Tournai,Tournai,481,511,3.3886,50.6053,true,initial_capital,city,Encyclopaedia Britannica: Frankish kingdom,https://www.britannica.com/place/Frankish-kingdom,Capital coordinates from city-level geocoding.,80,City-level approximation for historical capital marker.
capital_eur_0029,polity_eur_0041,Winchester,Winchester,519,927,-1.3081,51.0632,true,initial_capital,city,Encyclopaedia Britannica: United Kingdom — History,https://www.britannica.com/place/United-Kingdom/History,Capital coordinates from city-level geocoding.,75,City-level approximation for historical capital marker.
capital_eur_0030,polity_eur_0043,Constantinople,Constantinople,717,1204,28.9784,41.0082,true,initial_capital,city,Encyclopaedia Britannica: Byzantine Empire,https://www.britannica.com/place/Byzantine-Empire,Capital coordinates from city-level geocoding.,90,City-level approximation for historical capital marker.
capital_eur_0031,polity_eur_0044,Aachen,Aachen,794,814,6.0839,50.7753,true,initial_capital,city,Encyclopaedia Britannica: Carolingian dynasty,https://www.britannica.com/topic/Carolingian-dynasty,Capital coordinates from city-level geocoding.,90,City-level approximation for historical capital marker.
capital_eur_0032,polity_eur_0044,Paris,Paris,814,887,2.3522,48.8566,true,initial_capital,city,Encyclopaedia Britannica: Carolingian dynasty,https://www.britannica.com/topic/Carolingian-dynasty,Capital coordinates from city-level geocoding.,80,City-level approximation for historical capital marker.
capital_eur_0033,polity_eur_0048,Cordoba,Cordoba,756,1031,-4.7794,37.8882,true,initial_capital,city,Encyclopaedia Britannica: Spain — History,https://www.britannica.com/place/Spain/History,Capital coordinates from city-level geocoding.,88,City-level approximation for historical capital marker.
capital_eur_0034,polity_eur_0049,León,León,910,1230,-5.5707,42.5987,true,initial_capital,city,Encyclopaedia Britannica: Spain — History,https://www.britannica.com/place/Spain/History,Capital coordinates from city-level geocoding.,80,City-level approximation for historical capital marker.
capital_eur_0035,polity_eur_0051,Winchester,Winchester,519,927,-1.3081,51.0632,true,initial_capital,city,Encyclopaedia Britannica: United Kingdom — History,https://www.britannica.com/place/United-Kingdom/History,Capital coordinates from city-level geocoding.,80,City-level approximation for historical capital marker.
capital_eur_0036,polity_eur_0052,Trondheim,Trondheim,1030,1300,10.3951,63.4305,true,initial_capital,city,Encyclopaedia Britannica: Vikings,https://www.britannica.com/topic/Viking-people,Capital coordinates from city-level geocoding.,78,City-level approximation for historical capital marker.
capital_eur_0037,polity_eur_0052,Oslo,Oslo,1300,1397,10.7522,59.9139,true,initial_capital,city,Encyclopaedia Britannica: Vikings,https://www.britannica.com/topic/Viking-people,Capital coordinates from city-level geocoding.,80,City-level approximation for historical capital marker.
capital_eur_0038,polity_eur_0053,Roskilde,Roskilde,980,1416,12.0833,55.6422,true,initial_capital,city,Encyclopaedia Britannica: Vikings,https://www.britannica.com/topic/Viking-people,Capital coordinates from city-level geocoding.,80,City-level approximation for historical capital marker.
capital_eur_0039,polity_eur_0054,Uppsala,Uppsala,1100,1397,17.6389,59.8586,true,initial_capital,city,Encyclopaedia Britannica: Vikings,https://www.britannica.com/topic/Viking-people,Capital coordinates from city-level geocoding.,75,City-level approximation for historical capital marker.
capital_eur_0040,polity_eur_0055,Kiev,Kiev,882,1240,30.5234,50.4501,true,initial_capital,city,Encyclopaedia Britannica: Russia — History,https://www.britannica.com/place/Russia/History,Capital coordinates from city-level geocoding.,85,City-level approximation for historical capital marker.
capital_eur_0041,polity_eur_0059,Rome,Rome,754,1095,12.4964,41.9028,true,initial_capital,city,Encyclopaedia Britannica: Italy — History,https://www.britannica.com/place/Italy/History,Capital coordinates from city-level geocoding.,85,City-level approximation for historical capital marker.
capital_eur_0042,polity_eur_0062,Vienna,Vienna,1438,1806,16.3738,48.2082,true,initial_capital,city,Encyclopaedia Britannica: Holy Roman Empire,https://www.britannica.com/place/Holy-Roman-Empire,Capital coordinates from city-level geocoding.,88,City-level approximation for historical capital marker.
capital_eur_0043,polity_eur_0062,Prague,Prague,1346,1437,14.4378,50.0755,true,initial_capital,city,Encyclopaedia Britannica: Holy Roman Empire,https://www.britannica.com/place/Holy-Roman-Empire,Capital coordinates from city-level geocoding.,82,Under Luxembourg Emperor Charles IV.
capital_eur_0044,polity_eur_0063,Paris,Paris,987,1792,2.3522,48.8566,true,initial_capital,city,Encyclopaedia Britannica: France — History,https://www.britannica.com/place/France/History,Capital coordinates from city-level geocoding.,90,City-level approximation for historical capital marker.
capital_eur_0045,polity_eur_0064,London,London,1066,1707,-0.1276,51.5074,true,initial_capital,city,Encyclopaedia Britannica: United Kingdom — History,https://www.britannica.com/place/United-Kingdom/History,Capital coordinates from city-level geocoding.,90,City-level approximation for historical capital marker.
capital_eur_0046,polity_eur_0065,Edinburgh,Edinburgh,1437,1707,-3.1883,55.9533,true,initial_capital,city,Encyclopaedia Britannica: United Kingdom — History,https://www.britannica.com/place/United-Kingdom/History,Capital coordinates from city-level geocoding.,85,City-level approximation for historical capital marker.
capital_eur_0047,polity_eur_0066,Venice,Venice,810,1797,12.3155,45.4408,true,initial_capital,city,Encyclopaedia Britannica: Italy — History,https://www.britannica.com/place/Italy/History,Capital coordinates from city-level geocoding.,90,City-level approximation for historical capital marker.
capital_eur_0048,polity_eur_0067,Florence,Florence,1115,1532,11.2558,43.7696,true,initial_capital,city,Encyclopaedia Britannica: Italy — History,https://www.britannica.com/place/Italy/History,Capital coordinates from city-level geocoding.,90,City-level approximation for historical capital marker.
capital_eur_0049,polity_eur_0068,Genoa,Genoa,1099,1797,8.9463,44.4056,true,initial_capital,city,Encyclopaedia Britannica: Italy — History,https://www.britannica.com/place/Italy/History,Capital coordinates from city-level geocoding.,88,City-level approximation for historical capital marker.
capital_eur_0050,polity_eur_0069,Milan,Milan,1395,1796,9.19,45.4642,true,initial_capital,city,Encyclopaedia Britannica: Italy — History,https://www.britannica.com/place/Italy/History,Capital coordinates from city-level geocoding.,88,City-level approximation for historical capital marker.
capital_eur_0051,polity_eur_0070,Naples,Naples,1282,1816,14.2681,40.8518,true,initial_capital,city,Encyclopaedia Britannica: Italy — History,https://www.britannica.com/place/Italy/History,Capital coordinates from city-level geocoding.,88,City-level approximation for historical capital marker.
capital_eur_0052,polity_eur_0070,Palermo,Palermo,1130,1282,13.3614,38.1157,true,initial_capital,city,Encyclopaedia Britannica: Italy — History,https://www.britannica.com/place/Italy/History,Capital coordinates from city-level geocoding.,85,City-level approximation for historical capital marker.
capital_eur_0053,polity_eur_0071,Rome,Rome,1095,1870,12.4964,41.9028,true,initial_capital,city,Encyclopaedia Britannica: Italy — History,https://www.britannica.com/place/Italy/History,Capital coordinates from city-level geocoding.,90,City-level approximation for historical capital marker.
capital_eur_0054,polity_eur_0071,Avignon,Avignon,1309,1377,4.8059,43.9493,true,initial_capital,city,Encyclopaedia Britannica: Crusades,https://www.britannica.com/event/Crusades,Capital coordinates from city-level geocoding.,88,Avignon papacy.
capital_eur_0055,polity_eur_0072,Burgos,Burgos,1035,1480,-3.7037,42.3439,true,initial_capital,city,Encyclopaedia Britannica: Spain — History,https://www.britannica.com/place/Spain/History,Capital coordinates from city-level geocoding.,82,City-level approximation for historical capital marker.
capital_eur_0056,polity_eur_0072,Toledo,Toledo,1085,1561,-4.0273,39.8628,true,initial_capital,city,Encyclopaedia Britannica: Spain — History,https://www.britannica.com/place/Spain/History,Capital coordinates from city-level geocoding.,82,City-level approximation for historical capital marker.
capital_eur_0057,polity_eur_0072,Madrid,Madrid,1561,1715,-3.7038,40.4168,true,initial_capital,city,Encyclopaedia Britannica: Spain — History,https://www.britannica.com/place/Spain/History,Capital coordinates from city-level geocoding.,90,City-level approximation for historical capital marker.
capital_eur_0058,polity_eur_0073,Saragossa,Saragossa,1118,1715,-0.8773,41.6488,true,initial_capital,city,Encyclopaedia Britannica: Spain — History,https://www.britannica.com/place/Spain/History,Capital coordinates from city-level geocoding.,82,City-level approximation for historical capital marker.
capital_eur_0059,polity_eur_0073,Barcelona,Barcelona,1137,1410,2.1734,41.3851,true,initial_capital,city,Encyclopaedia Britannica: Spain — History,https://www.britannica.com/place/Spain/History,Capital coordinates from city-level geocoding.,80,Catalan secondary capital.
capital_eur_0060,polity_eur_0074,Lisbon,Lisbon,1255,1910,-9.1393,38.7223,true,initial_capital,city,Encyclopaedia Britannica: Spain — History,https://www.britannica.com/place/Spain/History,Capital coordinates from city-level geocoding.,90,City-level approximation for historical capital marker.
capital_eur_0061,polity_eur_0075,Krakow,Krakow,1038,1596,19.945,50.0647,true,initial_capital,city,Encyclopaedia Britannica: Poland — History,https://www.britannica.com/place/Poland/History,Capital coordinates from city-level geocoding.,88,City-level approximation for historical capital marker.
capital_eur_0062,polity_eur_0076,Vilnius,Vilnius,1323,1569,25.2797,54.6872,true,initial_capital,city,Encyclopaedia Britannica: Poland — History,https://www.britannica.com/place/Poland/History,Capital coordinates from city-level geocoding.,85,City-level approximation for historical capital marker.
capital_eur_0063,polity_eur_0077,Esztergom,Esztergom,1000,1242,18.7406,47.7872,true,initial_capital,city,Encyclopaedia Britannica: Hungary — History,https://www.britannica.com/place/Hungary/History,Capital coordinates from city-level geocoding.,78,City-level approximation for historical capital marker.
